name,peopleNumber,detailLink,publishTime,positionInfo,workLocation
WXG08-211 微信搜一搜产品策划（广州）,,position_detail.php?id=43129&keywords=&tid=0&lid=0,,,
22850-腾讯视频商业分析,,position_detail.php?id=43131&keywords=&tid=0&lid=0,,,
S2-运营开发工程师（深圳）,,position_detail.php?id=43132&keywords=&tid=0&lid=0,,,
25928-次世代UI设计师（上海）,,position_detail.php?id=43120&keywords=&tid=0&lid=0,,,
23675-用户增长产品经理（北京）,,position_detail.php?id=43122&keywords=&tid=0&lid=0,,,
AQ-业务安全经理（深圳）,,position_detail.php?id=43115&keywords=&tid=0&lid=0,,,
SNG17-QQ轻游戏平台web前端开发工程师（深圳）,,position_detail.php?id=43108&keywords=&tid=0&lid=0,,,
SA-Machine Learning Algorithm Engineer （Shenzhen/Beijing）,,position_detail.php?id=43110&keywords=&tid=0&lid=0,,,
SNG16-全民K歌TV版曲库运营（深圳）,,position_detail.php?id=43097&keywords=&tid=0&lid=0,,,
SNG02-腾讯云广电行业高级运营经理（北京）,,position_detail.php?id=43100&keywords=&tid=0&lid=0,,,
SNG03-直播B侧高级产品经理（深圳）,,position_detail.php?id=43103&keywords=&tid=0&lid=0,,,
SNG16-全民K歌曲库运营（音乐制作/后期制作/编曲方向）（深圳）,,position_detail.php?id=43095&keywords=&tid=0&lid=0,,,
TEG02-运营质量工程师（深圳）,,position_detail.php?id=43084&keywords=&tid=0&lid=0,,,
TEG13-业务运维工程师（深圳）,,position_detail.php?id=43086&keywords=&tid=0&lid=0,,,
27555-开放世界手游产品运营（深圳）,,position_detail.php?id=43088&keywords=&tid=0&lid=0,,,
27087-企鹅号内容商业化运营（北京）,,position_detail.php?id=43078&keywords=&tid=0&lid=0,,,
21087-手游数据分析（深圳）,,position_detail.php?id=43081&keywords=&tid=0&lid=0,,,
FWZ-微信维权法务（广州）,,position_detail.php?id=43073&keywords=&tid=0&lid=0,,,
22989-腾讯云中间件产品架构师（深圳）,,position_detail.php?id=43076&keywords=&tid=0&lid=0,,,
GY0-海外腾讯云架构师,,position_detail.php?id=43068&keywords=&tid=0&lid=0,,,
WXG03-211 公众平台产品运营（广州）,,position_detail.php?id=43070&keywords=&tid=0&lid=0,,,
27193-互娱视觉设计师（深圳）,,position_detail.php?id=43059&keywords=&tid=0&lid=0,,,
WXG10-321 企业微信商务推广经理（上海-智慧零售）,,position_detail.php?id=43060&keywords=&tid=0&lid=0,,,
15569-横版射击手游玩法策划（深圳）,,position_detail.php?id=43062&keywords=&tid=0&lid=0,,,
15569-横版射击手游高级数值策划（深圳）,,position_detail.php?id=43064&keywords=&tid=0&lid=0,,,
TZ-Senior Translator（Hong Kong）,,position_detail.php?id=43053&keywords=&tid=0&lid=0,,,
26564-web前端开发(深圳）,,position_detail.php?id=43054&keywords=&tid=0&lid=0,,,
TEG06-高级应用开发工程师(GO/nodejs)(深圳),,position_detail.php?id=43057&keywords=&tid=0&lid=0,,,
25924-Android研发工程师(深圳),,position_detail.php?id=43046&keywords=&tid=0&lid=0,,,
SNG11-高级Web前端开发工程师（深圳）,,position_detail.php?id=43049&keywords=&tid=0&lid=0,,,
TEG13-基础平台研发总监（深圳）,,position_detail.php?id=43051&keywords=&tid=0&lid=0,,,
WXG10-113 企业微信后台开发工程师（成都）,,position_detail.php?id=43039&keywords=&tid=0&lid=0,,,
MIG06-游戏平台后台开发（深圳）,,position_detail.php?id=43040&keywords=&tid=0&lid=0,,,
22967-KA客户销售经理(上海）,,position_detail.php?id=43042&keywords=&tid=0&lid=0,,,
26699-智慧零售产品经理（上海）,,position_detail.php?id=43044&keywords=&tid=0&lid=0,,,
WXG10-321 企业微信商务推广经理（北京-餐饮）,,position_detail.php?id=43029&keywords=&tid=0&lid=0,,,
WXG10-321 企业微信商务推广经理（成都-政企）,,position_detail.php?id=43032&keywords=&tid=0&lid=0,,,
GY0-用户研究员,,position_detail.php?id=43035&keywords=&tid=0&lid=0,,,
25667-区域渠道销售经理（深圳/北京/上海）,,position_detail.php?id=43023&keywords=&tid=0&lid=0,,,
24012-新手游后台开发工程师（深圳）,,position_detail.php?id=43025&keywords=&tid=0&lid=0,,,
WXG10-321 企业微信商务推广经理（北京-智慧零售）,,position_detail.php?id=43027&keywords=&tid=0&lid=0,,,
27193-互娱创意指导（深圳）,,position_detail.php?id=43019&keywords=&tid=0&lid=0,,,
24012-新手游UI视觉设计师,,position_detail.php?id=43021&keywords=&tid=0&lid=0,,,
SNG16-腾讯音乐运营开发工程师（深圳）,,position_detail.php?id=43011&keywords=&tid=0&lid=0,,,
15612-移动游戏渠道经理(深圳）,,position_detail.php?id=43012&keywords=&tid=0&lid=0,,,
OMG192-渠道销售策略岗（北京&上海）,,position_detail.php?id=43015&keywords=&tid=0&lid=0,,,
WXG10-113 企业微信分布式架构后台开发工程师（广州）,,position_detail.php?id=43016&keywords=&tid=0&lid=0,,,
SNG16-腾讯音乐业务运维工程师（深圳）,,position_detail.php?id=43009&keywords=&tid=0&lid=0,,,
TEG02-高级网络运营工程师DCI（深圳）,,position_detail.php?id=43005&keywords=&tid=0&lid=0,,,
22968-华东消电IT金融行业策划经理（上海）,,position_detail.php?id=42998&keywords=&tid=0&lid=0,,,
SNG11-运营开发工程师（深圳）,,position_detail.php?id=43001&keywords=&tid=0&lid=0,,,
TEG02-云业务保障工程师（深圳）,,position_detail.php?id=43003&keywords=&tid=0&lid=0,,,
SNG08-企鹅FM用户运营,,position_detail.php?id=42991&keywords=&tid=0&lid=0,,,
25667-腾讯云渠道经理（上海）,,position_detail.php?id=42993&keywords=&tid=0&lid=0,,,
28297-业务管理PM（深圳）,,position_detail.php?id=42995&keywords=&tid=0&lid=0,,,
24491-资深原画概念设计师（深圳）,,position_detail.php?id=42984&keywords=&tid=0&lid=0,,,
28603-116 微信支付测试开发工程师（深圳）,,position_detail.php?id=42988&keywords=&tid=0&lid=0,,,
SA-腾讯社交广告平台项目经理（深圳）,,position_detail.php?id=42977&keywords=&tid=0&lid=0,,,
SNG16-腾讯音乐MV曲库运营（深圳）,,position_detail.php?id=42979&keywords=&tid=0&lid=0,,,
28600-212 微信支付商户服务产品经理（深圳）,,position_detail.php?id=42982&keywords=&tid=0&lid=0,,,
MIG08-安全业务产品经理（北京）,,position_detail.php?id=42970&keywords=&tid=0&lid=0,,,
SNG17-QQ运动高级产品运营经理（深圳）,,position_detail.php?id=42971&keywords=&tid=0&lid=0,,,
16078-高级商务合作经理（政务方向）（上海）,,position_detail.php?id=42974&keywords=&tid=0&lid=0,,,
SA-腾讯社交广告高级测试开发工程师（微信广告方向 深圳）,,position_detail.php?id=42975&keywords=&tid=0&lid=0,,,
19821-影视制片经理,,position_detail.php?id=42964&keywords=&tid=0&lid=0,,,
22989-腾讯云设计中心-视觉设计师（深圳）,,position_detail.php?id=42968&keywords=&tid=0&lid=0,,,
MIG12-机器学习算法工程师(深圳),,position_detail.php?id=42956&keywords=&tid=0&lid=0,,,
21062-视频影片导演（深圳）,,position_detail.php?id=42957&keywords=&tid=0&lid=0,,,
21062-视频影片导演（上海）,,position_detail.php?id=42959&keywords=&tid=0&lid=0,,,
TEG02-网络安全工程师,,position_detail.php?id=42963&keywords=&tid=0&lid=0,,,
